id,vestibular,disciplina,ano,fase,assunto,area,conteudo,questao
1,fuvest,Física,2016,primeira,mecânica,dinâmica,energia mecânica,24
2,fuvest,Física,2016,primeira,eletricidade,eletrostática,conservação da carga elétrica,25
3,fuvest,Física,2016,primeira,ondulatória,oscilações,pêndulo,26
4,fuvest,Física,2016,primeira,eletricidade,eletrodinâmica,circuito,27
5,fuvest,Física,2016,primeira,mecânica,gravitação,aceleração da gravidade,28
6,fuvest,Física,2016,primeira,termologia,estudo dos gases,lei dos gases,29
7,fuvest,Física,2016,primeira,mecânica,hidrostática,empuxo,30
8,fuvest,Física,2016,primeira,física moderna,relatividade,aniquilação,31
9,fuvest,Física,2016,primeira,óptica,óptica geométrica,refração,32
10,fuvest,Física,2016,primeira,mecânica,dinâmica,análise dimensional,33
11,fuvest,Física,2017,primeira,mecânica,cinemática,gráfico mruv,57
12,fuvest,Física,2017,primeira,mecânica,dinâmica,quantidade de movimento,58
13,fuvest,Física,2017,primeira,mecânica,dinâmica,força resistência do ar,59
14,fuvest,Física,2017,primeira,mecânica,dinâmica,força elástica,60
15,fuvest,Física,2017,primeira,eletricidade,eletromagnetismo,campo magnético,61
16,fuvest,Física,2017,primeira,eletricidade,eletrodinâmica,potência,62
17,fuvest,Física,2017,primeira,ondulatória,ondas mecânicas,velocidade onda,63
18,fuvest,Física,2017,primeira,física moderna,física nuclear,decaimento radioativo,64
19,fuvest,Física,2017,primeira,óptica,óptica geométrica,refração,65
20,fuvest,Física,2017,primeira,termologia,calorimetria,conservação,66
21,fuvest,Física,2017,primeira,eletricidade,eletrostática,carga elétrica,67
22,fuvest,Física,2017,primeira,física moderna,física quântica,fótons,68
23,fuvest,Física,2018,primeira,termologia,transferência de calor,lei de fourier,1
24,fuvest,Física,2018,primeira,óptica,óptica geométrica,lentes,2
25,fuvest,Física,2018,primeira,termologia,calorimetria,energia térmica,3
26,fuvest,Física,2018,primeira,mecânica,cinemática,queda dos corpos,4
27,fuvest,Física,2018,primeira,ondulatória,ondas mecânicas,comprimento de onda,5
28,fuvest,Física,2018,primeira,mecânica,dinâmica,quantidade de movimento,6
29,fuvest,Física,2018,primeira,mecânica,estática,equilíbrio,7
30,fuvest,Física,2018,primeira,física moderna,física nuclear,decaimento radioativo,8
31,fuvest,Física,2018,primeira,eletricidade,eletrostática,ddp,9
32,fuvest,Física,2018,primeira,eletricidade,eletrodinâmica,circuito,10
33,fuvest,Física,2018,primeira,eletricidade,eletrodinâmica,potência,11
34,fuvest,Física,2019,primeira,mecânica,estática,pressão,13
35,fuvest,Física,2019,primeira,termologia,calorimetria,energia térmica,14
36,fuvest,Física,2019,primeira,mecânica,cinemática,velocidade angular,15
37,fuvest,Física,2019,primeira,mecânica,dinâmica,energia mecânica,16
38,fuvest,Física,2019,primeira,mecânica,dinâmica,quantidade de movimento,17
39,fuvest,Física,2019,primeira,eletricidade,eletrostática,força elétrica,18
40,fuvest,Física,2019,primeira,óptica,óptica geométrica,lentes,19
41,fuvest,Física,2019,primeira,eletricidade,eletrodinâmica,circuito,20
42,fuvest,Física,2019,primeira,termologia,calorimetria,conservação,21
43,fuvest,Física,2019,primeira,termologia,termodinâmica,1a lei,22
44,fuvest,Física,2019,primeira,óptica,óptica geométrica,lentes,23
45,fuvest,Física,2019,primeira,termologia,calorimetria,quantidade calor,24
46,fuvest,Física,2020,primeira,mecânica,gravitação,período,69
47,fuvest,Física,2020,primeira,física moderna,constante Plank,análise dimensional,70
48,fuvest,Física,2020,primeira,ondulatória,ondas mecânicas,frequência,71
49,fuvest,Física,2020,primeira,ondulatória,ondas mecânicas,velocidade,72
50,fuvest,Física,2020,primeira,mecânica,gravitação,velocidade de escape,73
51,fuvest,Física,2020,primeira,mecânica,dinâmica,força elástica,74
52,fuvest,Física,2020,primeira,eletricidade,eletrodinâmica,circuito,75
53,fuvest,Física,2020,primeira,óptica,óptica geométrica,telescópio,76
54,fuvest,Física,2020,primeira,eletricidade,eletromagnetismo,força magnética,77
55,fuvest,Física,2020,primeira,mecânica,cinemática,lançamento,78
56,fuvest,Física,2020,primeira,ondulatória,oscilação,pêndulo,79
57,fuvest,Física,2020,primeira,termologia,transferência de calor,convecção,80
58,unicamp,Física,2020,primeira,mecânica,cinemática,gráfico mruv,70
59,unicamp,Física,2020,primeira,mecânica,dinâmica,energia cinética,71
60,unicamp,Física,2020,primeira,mecânica,dinâmica,quantidade de movimento,72
61,unicamp,Física,2020,primeira,mecânica,cinemática,aceleração centrípeta,73
62,unicamp,Física,2020,primeira,mecânica,estática,equilíbrio,74
63,unicamp,Física,2020,primeira,termologia,estudo dos gases,lei Clapeyron,75
64,unicamp,Física,2020,primeira,mecânica,cinemática,queda dos corpos,76
65,unicamp,Física,2020,primeira,ondulatória,ondas mecânicas,frequência,77
66,unicamp,Física,2020,primeira,óptica,óptica geométrica,lentes,78
67,unicamp,Física,2020,primeira,eletricidade,eletrodinâmica,circuito,79
68,unicamp,Física,2019,primeira,mecânica,cinemática,mru,38
69,unicamp,Física,2019,primeira,mecânica,hidrostática,empuxo,39
70,unicamp,Física,2019,primeira,eletricidade,eletrodinâmica,corrente elétrica,40
71,unicamp,Física,2019,primeira,mecânica,hidrostática,pressão hidrostática,41
72,unicamp,Física,2019,primeira,termologia,transferência de calor,lei de Fourier,42
73,unicamp,Física,2019,primeira,ondulatória,ondas mecânicas,energia,43
74,unicamp,Física,2019,primeira,termologia,calorimetria,quantidade de calor,44
75,unicamp,Física,2019,primeira,ondulatória,ondas mecânicas,frequência,45
76,unicamp,Física,2019,primeira,óptica,óptica física,visão,46
77,unicamp,Física,2018,primeira,mecânica,dinâmica,leis de Newton,38
78,unicamp,Física,2018,primeira,mecânica,estática,equilíbrio,39
79,unicamp,Física,2018,primeira,mecânica,gravitação,órbita,40
80,unicamp,Física,2018,primeira,mecânica,gravitação,aceleração da gravidade,41
81,unicamp,Física,2018,primeira,mecânica,dinâmica,trabalho,42
82,unicamp,Física,2018,primeira,mecânica,estática,pressão,43
83,unicamp,Física,2018,primeira,eletricidade,eletrodinâmica,potência,44
84,unicamp,Física,2018,primeira,termologia,calorimetria,energia térmica,45
85,unicamp,Física,2018,primeira,eletricidade,eletrodinâmica,circuito,46
86,unicamp,Física,2018,primeira,termologia,transferência de calor,condução,47
87,unicamp,Física,2018,primeira,óptica,óptica geométrica,lentes,48
88,unicamp,Física,2017,primeira,mecânica,cinemática,velocidade média,57
89,unicamp,Física,2017,primeira,mecânica,cinemática,gráfico mruv,58
90,unicamp,Física,2017,primeira,mecânica,estática,equilíbrio,59
91,unicamp,Física,2017,primeira,mecânica,dinâmica,energia,60
92,unicamp,Física,2017,primeira,termologia,estudo dos gases,lei dos gases,61
93,unicamp,Física,2017,primeira,mecânica,hidrostática,princípio de Pascal,62
94,unicamp,Física,2017,primeira,eletricidade,eletrodinâmica,corrente elétrica,63
95,unicamp,Física,2017,primeira,ondulatória,ondas mecânicas,frequência,64
96,unicamp,Física,2017,primeira,óptica,óptica geométrica,espelho esférico,65
97,unicamp,Física,2016,primeira,mecânica,cinemática,velocidade média,1
98,unicamp,Física,2016,primeira,mecânica,cinemática,mruv,2
99,unicamp,Física,2016,primeira,termologia,transferência de calor,tipos de transferência,3
100,unicamp,Física,2016,primeira,mecânica,dinâmica,trabalho,4
101,unicamp,Física,2016,primeira,óptica,óptica física,raio de luz,5
102,unicamp,Física,2016,primeira,mecânica,dinâmica,quantidade de movimento,6
103,unicamp,Física,2016,primeira,eletricidade,eletrodinâmica,resistência,7
104,unicamp,Física,2016,primeira,ondulatória,ondas mecânicas,frequência,8
105,unicamp,Física,2016,primeira,mecânica,cinemática,mcu,9
106,unicamp,Física,2016,primeira,mecânica,dinâmica,quantidade de movimento,10
107,unesp,Física,2017,primeira_1sem,mecânica,cinemática,mcu,77
108,unesp,Física,2017,primeira_1sem,mecânica,dinâmica,força,78
109,unesp,Física,2017,primeira_1sem,mecânica,cinemática,lançamento,79
110,unesp,Física,2017,primeira_1sem,óptica,óptica geométrica,refração,80
111,unesp,Física,2017,primeira_1sem,ondulatória,ondas sonoras,velocidade,81
